event_date,actor1,assoc_actor_1,actor2,assoc_actor_2,fatalities,interaction,admin1,admin2,latitude,longitude,notes,fatality_points,fatality_points_2,notes_wrapped,year,latitude_jitter,longitude_jitter
2016-01-03,Rioters (Israel),Settlers (Israel),Civilians (Palestine),N/A,0.0,Rioters-Civilians,West Bank,Al Quds,31.7684,35.2381,"In East Jerusalem, settlers rampaged through the Silwan neighbourhood early today, setting alight eight cars belonging to Arabs.",2.0,0.5,"In East Jerusalem, settlers rampaged<br>through the Silwan neighbourhood early<br>today, setting alight eight cars<br>belonging to Arabs.",2016,31.768783199315877,35.23463799681488
2016-01-18,Settlers (Israel),N/A,Civilians (Palestine),N/A,1.0,Political militia-Civilians,West Bank,Salfit,32.0837,35.1808,"On 18 January 2016, an Israeli settler ran over 2 Palestinians near Salfit city, 1 Palestinian was killed and another injured.",3.0,1.5,"On 18 January 2016, an Israeli settler<br>ran over 2 Palestinians near Salfit<br>city, 1 Palestinian was killed and<br>another injured.",2016,32.08740271175576,35.18232065576078
2016-01-18,Settlers (Israel),N/A,Civilians (Palestine),N/A,1.0,Political militia-Civilians,West Bank,Salfit,32.1083,35.051,"On Monday an Israeli settler in a car allegedly intentionally ran over two Palestinian youths riding on a motorbike near Masha village in Salfeet, killing one and injuring the other.",3.0,1.5,"On Monday an Israeli settler in a car<br>allegedly intentionally ran over two<br>Palestinian youths riding on a motorbike<br>near Masha village in Salfeet, killing<br>one and injuring the other.",2016,32.112329084160734,35.047983053288235
2016-01-19,Rioters (Israel),Settlers (Israel),Civilians (Palestine),N/A,0.0,Rioters-Civilians,West Bank,Nablus,32.1522,35.2567,A group of Israeli settlers early Tuesday attacked a number of Palestinian vehicles at the Hawara military checkpoint south of the West Bank city of Nablus.,2.0,0.5,A group of Israeli settlers early<br>Tuesday attacked a number of Palestinian<br>vehicles at the Hawara military<br>checkpoint south of the West Bank city<br>of Nablus.,2016,32.15801289126524,35.252552568126845
2016-01-21,Unidentified Armed Group (Palestine),N/A,Civilians (Israel),Settlers (Israel),0.0,Political militia-Civilians,West Bank,Al Quds,31.7823,35.3075,"On 21 January 2016, on the road between Al Quds - Maale Adumim and Jerusalem, assailants threw a firebomb and wounded a 40-year-old man. Paramedics treated the man, who sustained a light wound to his leg, and evacuated him to Shaare Zedek Medical Center in Jerusalem.",2.0,0.5,"On 21 January 2016, on the road between<br>Al Quds - Maale Adumim and Jerusalem,<br>assailants threw a firebomb and wounded<br>a 40-year-old man. Paramedics treated<br>the man, who sustained a light wound to<br>his leg, and evacuated him to Shaare<br>Zedek Medical Center in Jerusalem.",2016,31.788048905136495,35.300725616370954
2016-01-21,Military Forces of Israel (2009-2021),N/A,Civilians (Israel),Settlers (Israel),0.0,External/Other forces-Civilians,West Bank,Hebron,31.5294,35.0938,Non-Violent Activity: Israeli forces on Friday evicted dozens of settlers from two buildings in central Hebron. The ownership of these buildings is contested.,2.0,0.5,Non-Violent Activity: Israeli forces on<br>Friday evicted dozens of settlers from<br>two buildings in central Hebron. The<br>ownership of these buildings is<br>contested.,2016,31.524728395009408,35.09599918032887
2016-01-27,Unidentified Armed Group (Palestine),N/A,Civilians (Israel),Settlers (Israel),0.0,Political militia-Civilians,West Bank,Al Quds,31.8615,35.1686,"On 27 January 2016, a Palestinian teenager stabbed and seriously wounded an Israeli man in the West Bank settlement of Givat Zeev on Wednesday.",2.0,0.5,"On 27 January 2016, a Palestinian<br>teenager stabbed and seriously wounded<br>an Israeli man in the West Bank<br>settlement of Givat Zeev on Wednesday.",2016,31.859524573792548,35.16931336632417
2016-02-02,Settlers (Israel),N/A,Civilians (Palestine),N/A,0.0,Political militia-Civilians,West Bank,Hebron,31.5283,35.1189,Israeli settlers assaulted a Palestinian young man near Kiryat Arbaa. The settlers were reportedly accompanied by soldiers who failed to intervene as the young man was severely beaten. He was later transferred to a hospital.,2.0,0.5,Israeli settlers assaulted a Palestinian<br>young man near Kiryat Arbaa. The<br>settlers were reportedly accompanied by<br>soldiers who failed to intervene as the<br>young man was severely beaten. He was<br>later transferred to a hospital.,2016,31.527303027008053,35.116258014667004
2016-02-06,Rioters (Palestine),N/A,Settlers (Israel),Jewish Group (Israel),0.0,Political militia-Rioters,West Bank,Bethlehem,31.6692,35.2373,"On 06 February 2016, a Synagogue was set on fire in Gush Etzion (likely by Palestinian rioters) near Bethlehem.",2.0,0.5,"On 06 February 2016, a Synagogue was set<br>on fire in Gush Etzion (likely by<br>Palestinian rioters) near Bethlehem.",2016,31.66208673377909,35.23303481426236
2016-02-09,Settlers (Israel),N/A,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Hebron,31.4459,35.0944,"On 9 February 2016, Israeli settlers physically assaulted and injured a Palestinian shepherd in Masafer Yatta while he was grazing sheep.",2.0,0.5,"On 9 February 2016, Israeli settlers<br>physically assaulted and injured a<br>Palestinian shepherd in Masafer Yatta<br>while he was grazing sheep.",2016,31.44524989463297,35.09085932579066
2016-02-09,Unidentified Armed Group (Palestine),N/A,Civilians (Israel),Settlers (Israel),0.0,Political militia-Civilians,West Bank,Bethlehem,31.6763,35.1436,"On 9 February 2016, an unidentified Palestinian stabbed and moderately injured an Israeli man at the entrance to the settlement of Neve Daniel (Bethlehem, West Bank).",2.0,0.5,"On 9 February 2016, an unidentified<br>Palestinian stabbed and moderately<br>injured an Israeli man at the entrance<br>to the settlement of Neve Daniel<br>(Bethlehem, West Bank).",2016,31.680513142256952,35.139006132496256
2016-02-10,Settlers (Israel),N/A,Civilians (Palestine),N/A,0.0,Political militia-Civilians,West Bank,Qalqilya,32.175,35.0575,"On 10 February 2016, an Israeli settler threw an ax through the windshield of a Palestinian vehicle on the road between Azzun and Karnie Shomron.",2.0,0.5,"On 10 February 2016, an Israeli settler<br>threw an ax through the windshield of a<br>Palestinian vehicle on the road between<br>Azzun and Karnie Shomron.",2016,32.17823264046782,35.05715103990061
2016-02-14,Rioters (Palestine),N/A,Civilians (Israel),Settlers (Israel),0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,31.9333,35.2167,On the night of Feb 14 2016 shots were fired (likely by Palestinian rioters) at a house in Beit El causing damage but no injuries. No reports of whether civilians were home at the time.,2.0,0.5,On the night of Feb 14 2016 shots were<br>fired (likely by Palestinian rioters) at<br>a house in Beit El causing damage but no<br>injuries. No reports of whether<br>civilians were home at the time.,2016,31.927523364850412,35.21434247536929
2016-02-23,Settlers (Israel),N/A,Civilians (Palestine),Women (Palestine),1.0,Political militia-Civilians,West Bank,Jericho,31.8667,35.45,"On 23 February 2016, an Israeli settler ran over 2 Palestinians, a mother and her daughter, near Jericho city, killing the mother and severely injuring the daughter.",3.0,1.5,"On 23 February 2016, an Israeli settler<br>ran over 2 Palestinians, a mother and<br>her daughter, near Jericho city, killing<br>the mother and severely injuring the<br>daughter.",2016,31.859071022988363,35.45477782145679
2016-03-02,Unidentified Armed Group (Palestine),N/A,Civilians (Israel),Settlers (Israel),0.0,Political militia-Civilians,West Bank,Nablus,32.07,35.2637,"On 2 March 2016, two Palestinians attacked a settler with a knife outside his home in Eli settlement on March 2. The settler was taken to the hospital.",2.0,0.5,"On 2 March 2016, two Palestinians<br>attacked a settler with a knife outside<br>his home in Eli settlement on March 2.<br>The settler was taken to the hospital.",2016,32.07000925074959,35.26989618784337
